INFRACCIONES,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
    6. SEGURIDAD COLECTIVA,441.0,344.0,469.0,448.0,454.0,425.0,392.0,505.0,547.0,533.0,676.0,619.0,
    6.1.-Tráfico de drogas,77.0,62.0,72.0,77.0,80.0,74.0,85.0,106.0,98.0,118.0,128.0,157.0,
    6.2.-Contra la seguridad vial,333.0,255.0,361.0,339.0,332.0,321.0,279.0,363.0,413.0,404.0,531.0,429.0,
    6.3.-Otros contra la seguridad colectiva,31.0,27.0,36.0,32.0,42.0,30.0,28.0,36.0,36.0,11.0,17.0,33.0,
    7. FALSEDADES,284.0,205.0,187.0,182.0,129.0,116.0,116.0,129.0,128.0,119.0,161.0,101.0,
    8. ADMÓN. PÚBLICA,0.0,3.0,3.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,
    9. ADMÓN. JUSTICIA,247.0,211.0,253.0,187.0,192.0,206.0,220.0,204.0,217.0,176.0,191.0,236.0,
    10. ORDEN PÚBLICO,186.0,291.0,172.0,162.0,176.0,129.0,159.0,215.0,212.0,283.0,302.0,240.0,
    11. LEGISLACIÓN ESPECIAL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
    12. OTRAS INFRACCIONES PENALES,127.0,96.0,117.0,84.0,105.0,122.0,104.0,47.0,47.0,58.0,52.0,48.0,
    TOTAL INFRACCIONES PENALES,11777.0,10728.0,13105.0,12691.0,11786.0,11361.0,12105.0,13029.0,13943.0,14269.0,14304.0,13931.0,
Alicante/Alacant,
    1. CONTRA LAS PERSONAS,8891.0,7878.0,9276.0,8763.0,8425.0,8090.0,10727.0,14043.0,13501.0,14171.0,14398.0,13911.0,
    1.1.-Homicidios dolosos/asesinatos,58.0,45.0,49.0,40.0,27.0,52.0,41.0,49.0,26.0,35.0,55.0,49.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,10.0,18.0,14.0,14.0,10.0,16.0,30.0,14.0,9.0,16.0,19.0,17.0,
    1.2.-Lesiones,4211.0,3491.0,4574.0,4459.0,4371.0,4287.0,4329.0,4577.0,4565.0,4948.0,5194.0,4891.0,
    1.3.-Malos tratos ámbito familiar,4441.0,4232.0,4538.0,4151.0,3954.0,3708.0,3528.0,3547.0,3500.0,3372.0,3416.0,3475.0,
    1.4.-Otros contra las personas,181.0,110.0,115.0,113.0,73.0,43.0,2829.0,5870.0,5410.0,5816.0,5733.0,5496.0,
    2. CONTRA LA LIBERTAD,5879.0,5307.0,5019.0,4850.0,4998.0,4752.0,3304.0,1710.0,1486.0,1803.0,1952.0,1734.0,
    2.1.-Malos tratos habituales en el ámbito familiar,701.0,615.0,597.0,490.0,499.0,503.0,575.0,612.0,522.0,733.0,704.0,626.0,
    2.2.-Otros contra la libertad,5178.0,4692.0,4422.0,4360.0,4499.0,4249.0,2729.0,1098.0,964.0,1070.0,1248.0,1108.0,
    3. LIBERTAD SEXUAL,838.0,573.0,676.0,599.0,510.0,464.0,459.0,445.0,422.0,446.0,502.0,506.0,
    3.1.-Agresión sexual,103.0,65.0,84.0,65.0,70.0,81.0,65.0,62.0,78.0,84.0,112.0,98.0,
    3.2.-Agresión sexual con penetración,99.0,81.0,85.0,70.0,54.0,61.0,43.0,54.0,75.0,61.0,73.0,75.0,
    3.3.-Corrupción de menores o incapacitados,27.0,19.0,30.0,18.0,21.0,17.0,24.0,19.0,27.0,20.0,29.0,14.0,
    3.4.-Pornografía de menores,28.0,25.0,38.0,43.0,32.0,26.0,39.0,35.0,16.0,23.0,36.0,61.0,
    3.5.-Otros contra la libertad e indemnidad sexual,581.0,383.0,439.0,403.0,333.0,279.0,288.0,275.0,226.0,258.0,252.0,258.0,
    4. RELACIONES FAMILIARES,407.0,343.0,410.0,389.0,434.0,391.0,441.0,509.0,476.0,515.0,468.0,405.0,
    5. PATRIMONIO,54499.0,50860.0,65372.0,66684.0,69237.0,70766.0,70953.0,73025.0,77177.0,82789.0,87075.0,89186.0,
    5.1.-Hurtos,18481.0,16192.0,26115.0,26527.0,29860.0,31582.0,32448.0,32332.0,33586.0,34926.0,36044.0,37723.0,
    5.2.-Robos con fuerza en las cosas,9853.0,10550.0,13943.0,15046.0,16030.0,16718.0,16291.0,18185.0,20713.0,22539.0,25568.0,26805.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2503.0,2801.0,4034.0,4159.0,4757.0,4144.0,3795.0,4669.0,5416.0,6686.0,7662.0,4861.0,
    5.2.2.-Robos con fuerza en viviendas,5282.0,5479.0,6888.0,7793.0,7609.0,8751.0,8478.0,9076.0,10250.0,10399.0,8265.0,10929.0,
    5.2.3.-Robos con fuerza en establecimientos,973.0,1110.0,1448.0,1462.0,1878.0,1954.0,1852.0,2006.0,2180.0,2211.0,2219.0,2678.0,
    5.3.-Robos con violencia o intimidación,1212.0,1187.0,1655.0,1687.0,1818.0,2064.0,1998.0,2157.0,2640.0,3021.0,3037.0,3307.0,
    5.3.1.-Robos con violencia en vía pública,625.0,650.0,945.0,1039.0,1132.0,1336.0,1247.0,1355.0,1707.0,1948.0,1596.0,2356.0,
    5.3.2.-Robos con violencia en viviendas,172.0,176.0,202.0,159.0,191.0,199.0,197.0,166.0,256.0,269.0,212.0,198.0,
    5.3.3.-Robos con violencia en establecimientos,234.0,196.0,281.0,245.0,258.0,286.0,274.0,306.0,306.0,332.0,316.0,361.0,
    5.4.-Sustracción de vehículos,969.0,996.0,1350.0,1281.0,1667.0,2041.0,2045.0,2145.0,2240.0,2840.0,3299.0,3474.0,
    5.5.-Estafas,12995.0,11901.0,10806.0,10200.0,7753.0,6815.0,6188.0,5692.0,4976.0,5192.0,4727.0,3375.0,
    5.5.1.-Estafas informáticas,8371.0,7562.0,5137.0,3632.0,2660.0,2219.0,1795.0,1455.0,1077.0,1209.0,1054.0,851.0,
    5.6.-Daños,8137.0,7499.0,8815.0,9432.0,9932.0,9612.0,9933.0,10501.0,11108.0,12385.0,12864.0,13159.0,
    5.7.-Contra la propiedad intelectual/industrial,102.0,53.0,100.0,134.0,121.0,114.0,109.0,108.0,158.0,169.0,156.0,269.0,
    5.8.-Blanqueo de capitales,34.0,17.0,14.0,16.0,11.0,11.0,9.0,14.0,18.0,11.0,4.0,8.0,
    5.9.-Otros contra el patrimonio,2716.0,2465.0,2574.0,2361.0,2045.0,1809.0,1932.0,1891.0,1738.0,1706.0,1376.0,1066.0,
    6. SEGURIDAD COLECTIVA,3115.0,2468.0,2707.0,2875.0,2591.0,2711.0,2513.0,3165.0,3321.0,3240.0,3234.0,2813.0,
    6.1.-Tráfico de drogas,935.0,816.0,788.0,669.0,626.0,704.0,601.0,680.0,778.0,630.0,566.0,583.0,
    6.2.-Contra la seguridad vial,2115.0,1603.0,1871.0,2120.0,1877.0,1939.0,1839.0,2398.0,2448.0,2463.0,2432.0,2019.0,
    6.3.-Otros contra la seguridad colectiva,65.0,49.0,48.0,86.0,88.0,68.0,73.0,87.0,95.0,147.0,236.0,211.0,
    7. FALSEDADES,1808.0,1316.0,1336.0,1324.0,1111.0,1026.0,956.0,882.0,818.0,865.0,1118.0,885.0,
    8. ADMÓN. PÚBLICA,48.0,21.0,18.0,40.0,22.0,12.0,26.0,18.0,12.0,28.0,18.0,27.0,
    9. ADMÓN. JUSTICIA,1776.0,1766.0,1747.0,1682.0,1594.0,1535.0,1640.0,1623.0,1611.0,1686.0,1649.0,1656.0,
    10. ORDEN PÚBLICO,1321.0,1840.0,1105.0,1088.0,1047.0,1101.0,1294.0,1671.0,1785.0,1835.0,1897.0,1746.0,
    11. LEGISLACIÓN ESPECIAL,20.0,18.0,1.0,3.0,1.0,2.0,8.0,0.0,1.0,5.0,2.0,1.0,
    12. OTRAS INFRACCIONES PENALES,314.0,342.0,312.0,339.0,373.0,502.0,455.0,317.0,276.0,200.0,263.0,244.0,
    TOTAL INFRACCIONES PENALES,78916.0,72732.0,87979.0,88636.0,90343.0,91352.0,92776.0,97408.0,100886.0,107583.0,112576.0,113114.0,
Almería,
    1. CONTRA LAS PERSONAS,3640.0,3421.0,3861.0,3470.0,3474.0,3383.0,4281.0,5154.0,4856.0,5341.0,5718.0,5830.0,
    1.1.-Homicidios dolosos/asesinatos,29.0,26.0,25.0,20.0,18.0,23.0,22.0,17.0,25.0,42.0,39.0,38.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,8.0,6.0,9.0,9.0,5.0,6.0,7.0,8.0,6.0,11.0,15.0,19.0,
    1.2.-Lesiones,2052.0,1833.0,2131.0,1893.0,1956.0,1924.0,1846.0,1912.0,1874.0,1973.0,2094.0,2176.0,
    1.3.-Malos tratos ámbito familiar,1507.0,1513.0,1672.0,1521.0,1473.0,1417.0,1322.0,1160.0,1109.0,1290.0,1269.0,1252.0,
    1.4.-Otros contra las personas,52.0,49.0,33.0,36.0,27.0,19.0,1091.0,2065.0,1848.0,2036.0,2316.0,2364.0,
    2. CONTRA LA LIBERTAD,2394.0,2200.0,2064.0,2105.0,1978.0,2049.0,1330.0,814.0,792.0,842.0,867.0,812.0,
    2.1.-Malos tratos habituales en el ámbito familiar,458.0,392.0,314.0,318.0,289.0,294.0,338.0,368.0,342.0,385.0,359.0,361.0,
    2.2.-Otros contra la libertad,1936.0,1808.0,1750.0,1787.0,1689.0,1755.0,992.0,446.0,450.0,457.0,508.0,451.0,
    3. LIBERTAD SEXUAL,273.0,266.0,278.0,220.0,184.0,178.0,167.0,144.0,144.0,178.0,176.0,171.0,
    3.1.-Agresión sexual,67.0,66.0,53.0,47.0,29.0,40.0,41.0,28.0,32.0,52.0,45.0,54.0,
    3.2.-Agresión sexual con penetración,47.0,40.0,37.0,24.0,17.0,24.0,24.0,15.0,23.0,32.0,32.0,24.0,
